Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,91.639999,95.169998,91.639999,94.540001,92.255127,32248800
2019-01-08,95.059998,96.139999,93.120003,94.949997,92.655212,35349200
2019-01-15,95.470001,98.199997,95.379997,97.730003,95.368034,24203300
2019-01-22,97.150002,99.349998,96.080002,97.059998,94.714218,37112700
2019-01-29,96.769997,97.160004,93.110001,94.769997,92.479561,51686200
2019-02-05,95.250000,96.820000,95.000000,96.199997,93.875008,29086900
2019-02-12,96.820000,100.000000,96.500000,99.989998,97.573410,28021600
2019-02-19,102.379997,104.180000,98.650002,99.120003,96.724434,62064200
2019-02-26,99.019997,99.559998,97.120003,97.849998,95.485123,45802600
2019-03-05,98.129997,99.190002,97.000000,98.480003,96.099915,27946800
2019-03-12,98.529999,99.769997,97.589996,99.660004,97.251396,35848700
2019-03-19,99.989998,100.489998,97.629997,98.169998,96.312851,30404000
2019-03-26,98.360001,98.860001,95.000000,97.820000,95.969467,37417100
2019-04-02,97.760002,99.250000,96.790001,99.230003,97.352806,26066200
2019-04-09,98.800003,102.910004,98.150002,102.430000,100.492271,24339400
2019-04-16,102.889999,103.800003,102.169998,102.370003,100.433403,17364800
2019-04-23,102.529999,104.150002,99.660004,101.559998,99.638718,28197100
2019-04-30,101.769997,102.919998,100.239998,102.459999,100.521690,26408400
2019-05-07,101.800003,102.169998,98.849998,99.889999,98.000313,32801900
2019-05-14,100.139999,103.959999,99.129997,101.519997,100.128563,49781400
2019-05-21,101.510002,102.889999,100.400002,102.669998,101.262802,25167800
2019-05-28,102.559998,103.570000,100.599998,101.959999,100.562546,34353700
2019-06-04,102.610001,107.779999,101.440002,107.519997,106.046341,34066600
2019-06-11,108.000000,109.589996,107.750000,109.160004,107.663864,25539700
2019-06-18,109.800003,112.220001,108.870003,111.239998,109.715347,33048700
2019-06-25,110.879997,111.970001,108.860001,110.620003,109.103851,27769400
2019-07-02,110.830002,112.930000,110.339996,112.720001,111.175064,15565300
2019-07-09,112.889999,115.080002,112.389999,114.980003,113.404091,20988300
2019-07-16,115.330002,115.489998,112.320000,112.820000,111.273697,17714700
2019-07-23,113.120003,113.339996,111.570000,112.269997,110.731232,22258600
2019-07-30,112.059998,112.400002,105.589996,105.820000,104.369644,29928200
2019-08-06,106.190002,108.839996,104.839996,105.220001,103.777863,28167800
2019-08-13,105.250000,114.930000,104.849998,113.809998,112.802666,53944300
2019-08-20,113.860001,114.070000,110.129997,111.989998,110.998772,32436500
2019-08-27,112.419998,115.379997,111.510002,114.260002,113.248688,22080500
2019-09-03,113.680000,117.959999,113.489998,116.330002,115.300362,27872100
2019-09-10,115.989998,118.190002,115.220001,115.570000,114.547089,26344700
2019-09-17,115.320000,118.410004,115.250000,117.620003,116.578949,28436000
2019-09-24,118.250000,119.860001,117.750000,118.680000,117.629562,22709700
2019-10-01,118.849998,119.110001,114.580002,117.230003,116.192406,24202300
2019-10-08,116.809998,120.709999,116.660004,119.169998,118.115227,24071200
2019-10-15,119.330002,120.599998,118.820000,119.739998,118.680176,21211600
2019-10-22,119.750000,120.169998,118.199997,119.220001,118.164787,14253400
2019-10-29,118.500000,119.110001,116.830002,117.570000,116.529388,21077000
2019-11-05,117.680000,120.919998,117.080002,119.040001,117.986374,20544600
2019-11-12,119.599998,125.379997,118.239998,120.250000,119.185669,51964800
2019-11-19,120.110001,120.480003,117.900002,118.919998,117.867432,22818300
2019-11-26,118.959999,119.970001,117.839996,119.279999,118.224258,18554800
2019-12-03,118.400002,119.860001,117.419998,119.360001,118.303551,25661000
2019-12-10,119.349998,121.349998,118.529999,120.540001,120.008987,22654700
2019-12-17,120.949997,122.120003,119.010002,119.029999,118.505638,26583100
2019-12-24,119.129997,119.940002,118.949997,119.400002,118.874016,12941000
