Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,43.119999,43.619999,41.950001,43.230000,41.260918,97793800
2019-01-08,43.560001,43.700001,42.029999,42.369999,40.440083,112130600
2019-01-15,42.599998,43.240002,41.830002,42.529999,40.592796,112742400
2019-01-22,42.410000,42.689999,39.480000,39.529999,37.729443,155116800
2019-01-29,39.500000,43.119999,39.470001,42.439999,40.506893,166070500
2019-02-05,42.430000,42.730000,41.209999,41.680000,40.128948,110463300
2019-02-12,41.709999,42.509998,41.389999,42.400002,40.822159,89498400
2019-02-19,42.240002,43.369999,41.860001,43.080002,41.476852,115231400
2019-02-26,42.959999,43.790001,42.799999,43.070000,41.467224,115275200
2019-03-05,43.090000,43.250000,40.340000,41.500000,39.955650,131360500
2019-03-12,41.700001,42.130001,40.860001,41.810001,40.254116,164865700
2019-03-19,41.970001,42.639999,41.669998,41.889999,40.331135,107787700
2019-03-26,42.200001,42.939999,41.919998,42.840000,41.245785,94162000
2019-04-02,42.950001,43.279999,42.500000,43.139999,41.534618,74749400
2019-04-09,42.980000,43.000000,41.470001,42.090000,40.523693,87233300
2019-04-16,42.220001,42.299999,38.419998,38.980000,37.529423,143755000
2019-04-23,39.090000,40.020000,38.880001,39.590000,38.116722,103682500
2019-04-30,40.400002,41.770000,39.799999,41.650002,40.100071,114016300
2019-05-07,41.389999,41.709999,39.869999,40.570000,39.060257,110579300
2019-05-14,40.590000,41.980000,40.560001,41.590000,40.397442,132107400
2019-05-21,41.709999,42.310001,41.490002,41.950001,40.747120,90074900
2019-05-28,42.150002,42.480000,41.279999,41.919998,40.717976,131843500
2019-06-04,42.480000,43.250000,42.040001,43.070000,41.835003,94559600
2019-06-11,43.200001,43.299999,42.349998,42.880001,41.650455,72928700
2019-06-18,42.820000,44.110001,42.820000,43.759998,42.505219,124148600
2019-06-25,43.849998,44.290001,42.500000,43.770000,42.514935,144701500
2019-07-02,43.680000,44.560001,42.980000,43.299999,42.058407,65550300
2019-07-09,43.419998,44.110001,42.009998,42.750000,41.524181,115607500
2019-07-16,42.790001,43.209999,42.480000,42.820000,41.592175,81336300
2019-07-23,42.849998,43.230000,41.340000,41.450001,40.261459,133625000
2019-07-30,39.830002,40.240002,36.410000,36.959999,35.900204,264571000
2019-08-06,37.189999,37.310001,34.779999,35.389999,34.696823,148091900
2019-08-13,35.430000,35.810001,33.970001,35.180000,34.490932,158355000
2019-08-20,35.099998,35.349998,34.169998,34.840000,34.157593,96118000
2019-08-27,35.009998,35.790001,34.279999,35.549999,34.853683,84674500
2019-09-03,35.610001,36.840000,35.509998,36.830002,36.108616,109032500
2019-09-10,36.590000,37.759998,36.020000,36.830002,36.108616,104252900
2019-09-17,36.790001,37.250000,36.230000,36.240002,35.530170,116512100
2019-09-24,36.270000,36.580002,35.570000,35.930000,35.226242,91371000
2019-10-01,35.930000,36.259998,34.599998,35.830002,35.128204,91434400
2019-10-08,35.650002,36.580002,35.419998,36.299999,35.588993,64270700
2019-10-15,36.450001,36.810001,36.320000,36.459999,35.745861,68674000
2019-10-22,36.410000,37.480000,36.220001,37.279999,36.549801,87140800
2019-10-29,38.000000,38.939999,37.919998,38.029999,37.285110,109814300
2019-11-05,38.029999,38.099998,36.750000,36.930000,36.206657,97099500
2019-11-12,36.830002,37.470001,36.299999,37.220001,36.843643,112758600
2019-11-19,37.430000,38.880001,37.009998,38.680000,38.288879,118123000
2019-11-26,38.540001,38.880001,38.049999,38.290001,37.902821,75200700
2019-12-03,37.959999,38.520000,37.790001,38.320000,37.932518,73035500
2019-12-10,38.270000,39.400002,38.070000,39.139999,38.744225,84460600
2019-12-17,39.439999,39.540001,38.639999,39.320000,38.922405,146161100
2019-12-24,39.330002,39.619999,38.889999,38.910000,38.516552,34386800
